MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:99829	Runx2	runt related transcription factor 2	17		BMP signaling pathway			IMP		J:196266 	
MGI:102934	Scx	scleraxis	15		BMP signaling pathway			IMP		J:156015 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		negative regulation of BMP signaling pathway	regulates a function/process that happens in neural tube		IGI	MGI:108078 	J:157031 	
MGI:108078	Sfrp2	secreted frizzled-related protein 2	3		negative regulation of BMP signaling pathway			IDA		J:157031 	
MGI:108078	Sfrp2	secreted frizzled-related protein 2	3		negative regulation of BMP signaling pathway	regulates a function/process that happens in neural tube		IGI	MGI:892014 	J:157031 	
MGI:892010	Sfrp4	secreted frizzled-related protein 4	13		regulation of BMP signaling pathway			IMP		J:234467 	
MGI:1860298	Sfrp5	secreted frizzled-related sequence protein 5	19		regulation of BMP signaling pathway			IEA	IPR034860 	J:72247 	
MGI:98310	Ski	ski sarcoma viral oncogene homolog (avian)	4		negative regulation of BMP signaling pathway			IBA	PTN000000299 	J:265628 	
MGI:98310	Ski	ski sarcoma viral oncogene homolog (avian)	4		negative regulation of BMP signaling pathway			IGI	MGI:88177 	J:178818 	
MGI:98310	Ski	ski sarcoma viral oncogene homolog (avian)	4		negative regulation of BMP signaling pathway			ISO	P12755 	J:164563 	
MGI:106203	Skil	SKI-like	3		negative regulation of BMP signaling pathway			IBA	PTN000000299 	J:265628 	
MGI:2443473	Skor1	SKI family transcriptional corepressor 1	9		negative regulation of BMP signaling pathway			IBA	PTN000000299 	J:265628 	
MGI:3645984	Skor2	SKI family transcriptional corepressor 2	18		negative regulation of BMP signaling pathway			IBA	PTN000000299 	J:265628 	
MGI:3645984	Skor2	SKI family transcriptional corepressor 2	18		negative regulation of BMP signaling pathway			IGI	MGI:88177 	J:178818 	
MGI:1332247	Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1	3		BMP signaling pathway			ISO	O00400 	J:164563 	
MGI:1919336	Slc39a5	solute carrier family 39 (metal ion transporter), member 5	10		BMP signaling pathway			IBA	PTN002638841 	J:265628 	
MGI:1919336	Slc39a5	solute carrier family 39 (metal ion transporter), member 5	10		BMP signaling pathway			ISO	Q6ZMH5 	J:164563 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IDA		J:217224 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IGI	MGI:107191 MGI:1916835 MGI:88177 	J:109016 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IGI	MGI:1328787 MGI:1859993 	J:147287 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway	happens in liver		IGI	P20722 	J:151027 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IGI	P97454 	J:196266 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			IMP	MGI:3045218 	J:90769 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			ISO	RGD:3030 	J:155856 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			ISO	Q15797 	J:164563 	
MGI:109452	Smad1	SMAD family member 1	8		BMP signaling pathway			TAS		J:79484 	
MGI:108051	Smad2	SMAD family member 2	18		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:108051	Smad2	SMAD family member 2	18		positive regulation of BMP signaling pathway			ISO	Q15796 	J:164563 	
MGI:1201674	Smad3	SMAD family member 3	9		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:894293	Smad4	SMAD family member 4	18		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:894293	Smad4	SMAD family member 4	18		BMP signaling pathway	happens in hepatocyte		IMP		J:129666 	
MGI:894293	Smad4	SMAD family member 4	18		BMP signaling pathway			ISO	Q13485 	J:164563 	
MGI:894293	Smad4	SMAD family member 4	18		positive regulation of BMP signaling pathway			ISO	Q13485 	J:164563 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway	happens in neural tube		IDA		J:138713 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway			IGI	P70340 	J:196266 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway			IGI	MGI:109452 MGI:1859993 	J:147287 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway	happens in liver		IGI	P20722 	J:151027 	
MGI:1328787	Smad5	SMAD family member 5	13		BMP signaling pathway			TAS		J:79484 	
MGI:1336883	Smad6	SMAD family member 6	9		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:1336883	Smad6	SMAD family member 6	9		BMP signaling pathway			ISO	O43541 	J:164563 	
MGI:1336883	Smad6	SMAD family member 6	9		negative regulation of BMP signaling pathway			ISO	O43541 	J:164563 	
MGI:1100518	Smad7	SMAD family member 7	18		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:1100518	Smad7	SMAD family member 7	18		negative regulation of BMP signaling pathway			IDA		J:157031 	
MGI:1100518	Smad7	SMAD family member 7	18		negative regulation of BMP signaling pathway			ISO	O15105 	J:164563 	
MGI:1859993	Smad9	SMAD family member 9	3		BMP signaling pathway			IBA	PTN000344419 	J:265628 	
MGI:1859993	Smad9	SMAD family member 9	3		BMP signaling pathway	happens in neural tube		IDA		J:138713 	
MGI:1859993	Smad9	SMAD family member 9	3		BMP signaling pathway			IGI	MGI:109452 MGI:1328787 	J:147287 	
MGI:1859993	Smad9	SMAD family member 9	3		BMP signaling pathway	happens in liver		IGI	P20722 	J:151027 	
MGI:1927578	Smpd3	sphingomyelin phosphodiesterase 3, neutral	8		BMP signaling pathway			IDA		J:212995 	
MGI:1923038	Smurf1	SMAD specific E3 ubiquitin protein ligase 1	5		BMP signaling pathway			ISO	Q9HCE7 	J:164563 	
MGI:1923038	Smurf1	SMAD specific E3 ubiquitin protein ligase 1	5		negative regulation of BMP signaling pathway			IBA	PTN002258298 	J:265628 	
MGI:1923038	Smurf1	SMAD specific E3 ubiquitin protein ligase 1	5		negative regulation of BMP signaling pathway			ISO	Q9HCE7 	J:164563 	
MGI:1913563	Smurf2	SMAD specific E3 ubiquitin protein ligase 2	11		negative regulation of BMP signaling pathway			IBA	PTN002258298 	J:265628 	
MGI:1202296	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	9		negative regulation of BMP signaling pathway			IMP		J:228024 	
MGI:1921749	Sost	sclerostin	11		negative regulation of BMP signaling pathway			IBA	PTN001028853 	J:265628 	
MGI:1921749	Sost	sclerostin	11		negative regulation of BMP signaling pathway	regulates a function/process that happens in osteoblast		IDA		J:128100 	
MGI:1921749	Sost	sclerostin	11		negative regulation of BMP signaling pathway			ISO	Q9BQB4 	J:86838 	
MGI:1913292	Sostdc1	sclerostin domain containing 1	12		negative regulation of BMP signaling pathway			IBA	PTN001028853 	J:265628 	
MGI:1913292	Sostdc1	sclerostin domain containing 1	12		negative regulation of BMP signaling pathway	regulates a function/process that happens in lower jaw molar epithelium,regulates a function/process that happens in epithelial cell		IDA		J:101382 	
MGI:1913292	Sostdc1	sclerostin domain containing 1	12		negative regulation of BMP signaling pathway			IDA		J:86665 	
MGI:1913292	Sostdc1	sclerostin domain containing 1	12		negative regulation of BMP signaling pathway	regulates a function/process that happens in lower jaw molar epithelium,regulates a function/process that happens in epithelial cell		IGI	MGI:88180 	J:101382 	
MGI:1913292	Sostdc1	sclerostin domain containing 1	12		negative regulation of BMP signaling pathway			ISO	Q6X4U4 	J:164563 	
MGI:98359	Sox11	SRY (sex determining region Y)-box 11	12		positive regulation of BMP signaling pathway			IMP		J:136878 	
MGI:2139806	Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	3		negative regulation of BMP signaling pathway			IBA	PTN000472066 	J:265628 	
MGI:2139806	Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	3		negative regulation of BMP signaling pathway	regulates a function/process that happens in fibroblast		IMP	MGI:5430946 	J:185987 	
MGI:2138563	Sulf1	sulfatase 1	1		positive regulation of BMP signaling pathway			ISO	Q8IWU6 	J:164563 	
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	19		negative regulation of BMP signaling pathway	regulates a function/process that happens in Rathke's pouch		IMP	MGI:1926344 	J:127546 	
MGI:104672	Tfap2b	transcription factor AP-2 beta	1		regulation of BMP signaling pathway			IMP		J:175832 	
MGI:98725	Tgfb1	transforming growth factor, beta 1	7		BMP signaling pathway			IBA	PTN000932183 	J:265628 	
MGI:98726	Tgfb2	transforming growth factor, beta 2	1		BMP signaling pathway			IBA	PTN000932183 	J:265628 	
MGI:98727	Tgfb3	transforming growth factor, beta 3	12		BMP signaling pathway			IBA	PTN000932183 	J:265628 	
MGI:104637	Tgfbr3	transforming growth factor, beta receptor III	5		BMP signaling pathway			ISO	Q03167 	J:164563 	
MGI:104637	Tgfbr3	transforming growth factor, beta receptor III	5		positive regulation of BMP signaling pathway	regulates a function/process that happens in palatal shelf,regulates a function/process that has the participant Bmp2,regulates a function/process that has the participant Bmp4,regulates a function/process that has the participant Acvr1,regulates a function/process that has the participant Bmpr1a		IMP		J:218259 	
MGI:1915138	Tmem100	transmembrane protein 100	11		BMP signaling pathway			ISO	Q9NV29 	J:164563 	
MGI:1919003	Tmprss6	transmembrane serine protease 6	15		negative regulation of BMP signaling pathway	regulates a function/process that happens in hepatocyte		IGI	MGI:1321394 MGI:1916835 MGI:88177 MGI:88180 	J:182123 	
MGI:1349721	Tob1	transducer of ErbB-2.1	11		negative regulation of BMP signaling pathway			IDA		J:66504 	
MGI:2137357	Trim33	tripartite motif-containing 33	3		negative regulation of BMP signaling pathway			ISO	Q9UPN9 	J:164563 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		BMP signaling pathway			IGI	MGI:88180 	J:90398 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		negative regulation of BMP signaling pathway			IDA		J:98069 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		negative regulation of BMP signaling pathway			IMP	MGI:2655736 	J:82738 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		positive regulation of BMP signaling pathway			IMP	MGI:2655736 	J:82738 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		regulation of BMP signaling pathway			IBA	PTN000267834 	J:265628 	
MGI:2444266	Ube2o	ubiquitin-conjugating enzyme E2O	11		positive regulation of BMP signaling pathway			ISO	Q9C0C9 	J:164563 	
MGI:894681	Usp9x	ubiquitin specific peptidase 9, X chromosome	X		BMP signaling pathway			ISO	Q93008 	J:164563 	
MGI:101857	Usp15	ubiquitin specific peptidase 15	10		BMP signaling pathway			ISO	Q9Y4E8 	J:164563 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		BMP signaling pathway	happens in embryonic stem cell		IGI	MGI:2676809 	J:192401 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		positive regulation of BMP signaling pathway	regulates a function/process that happens in stem cell		IGI	MGI:1338938 	J:193667 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		positive regulation of BMP signaling pathway	regulates a function/process that happens in stem cell		IMP		J:193667 	
MGI:2442987	Vwc2	von Willebrand factor C domain containing 2	11		negative regulation of BMP signaling pathway			IBA	PTN002921765 	J:265628 	
MGI:2442987	Vwc2	von Willebrand factor C domain containing 2	11		negative regulation of BMP signaling pathway			IDA		J:122704 	
MGI:2444069	Vwc2l	von Willebrand factor C domain-containing protein 2-like	1		negative regulation of BMP signaling pathway			IBA	PTN002921765 	J:265628 	
MGI:2444069	Vwc2l	von Willebrand factor C domain-containing protein 2-like	1		negative regulation of BMP signaling pathway			IGI	MGI:88177 MGI:88182 	J:154664 	
MGI:98953	Wnt1	wingless-type MMTV integration site family, member 1	15		BMP signaling pathway			ISO	Q91029 	J:157031 	
MGI:98953	Wnt1	wingless-type MMTV integration site family, member 1	15		negative regulation of BMP signaling pathway			ISO	P04628 	J:164563 	
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A	11		BMP signaling pathway			ISO	Q2LMP1 	J:157031 	
MGI:98958	Wnt5a	wingless-type MMTV integration site family, member 5A	14		negative regulation of BMP signaling pathway	regulates a function/process that happens in diencephalon		IMP	MGI:1857617 	J:132979 	
MGI:1919943	Zcchc12	zinc finger, CCHC domain containing 12	X		BMP signaling pathway			IDA		J:152281 	
MGI:2389445	Zfp128	zinc finger protein 128	7		BMP signaling pathway			IMP		J:79484 	
MGI:1891217	Zfp423	zinc finger protein 423	8		positive regulation of BMP signaling pathway			IDA		J:166398 	

